token,path,amount_in,amount_out,amount_path,profit
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0xcd7989894bc033581532d2cd88da5db0a4b12859, 0x97524f602706cdb64f9dfa71909ace06e98200b6",34338074408866,34074948027715,"[34338074408866, 71203, 191, 15981817534983992, 34074948027715]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x7ac54407a88599612b7ed37cc3144242d1006bcb, 0x9e0f4648d2cc986196580184ed9459aba16262bf",68676148817732,68533692734478,"[68676148817732, 142407, 383, 166921579402, 68533692734478]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x56b9f76ae3c872818f9250a700a2626240ae0169, 0xc3d7aa944105d3fafe07fc1822102449c916a8d0",34338074408866,34059587457250,"[34338074408866, 71203, 191, 943572420659506309, 34059587457250]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x7e2b8aa127f6a50715ed4d300a95e6d1d35fd08a, 0x2a66392317698c5818df7a72a58556049f0ae6f2",34338074408866,33455353421821,"[34338074408866, 71203, 191, 54168986145836960051, 33455353421821]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x5548f847fd9a1d3487d5fbb2e8d73972803c4cce, 0x17ec169b5c1d0cb37dc66c4cf7d1855638408f70",34338074408866,33404829982422,"[34338074408866, 71203, 191, 153484251598325654189, 33404829982422]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0xc2f71bbca8fc4b8f0646bfe49c2514913f51c328, 0x9c18a2f9545112ab2fcbdd228536562406a53232",34338074408866,33173099601742,"[34338074408866, 71203, 191, 5301069172, 33173099601742]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0xc149d5bbbf636006739754660efee3daa1335dfe, 0xdd97fce8441dabf221b330269750b18ba82b0cd6",34338074408866,33799723985113,"[34338074408866, 71203, 191, 162383022672187349093, 33799723985113]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x542c3b73d9d6aff394e729c9da62872fd59cfb7a, 0xdd5c8950cba7de3e63b1efbac0f67073a1c8a88e",34338074408866,33139335956508,"[34338074408866, 71203, 191, 36396075755, 33139335956508]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,34050779746210,"[34338074408866, 71203, 71017, 34050779746210]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xb20bd5d04be54f870d5c0d3ca85d82b34b836405, 0xa478c2975ab1ea89e8196811f51a7b7ade33eb11",34338074408866,33971764906248,"[34338074408866, 71203, 71017, 70943032243756331, 33971764906248]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x50b6071561f068963bcfe2b341126cd6accafafb, 0x582e3da39948c6339433008703211ad2c13eb2ac",1937820482623007744,114181653999839033629,"[1937820482623007744, 4017701576, 4005659933, 42638634178468, 114181653999839033629]",112243833517216025885
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x576cea6d4461fcb3a9d43e922c9b54c0f791599a, 0x469506e58d4d0d7abb476dd5c0a999d46723351f",34338074408866,33761309767941,"[34338074408866, 71203, 71017, 82492881748370074, 33761309767941]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xf0d1109e723cb06e400e2e57d0b6c7c32bedf61a, 0x9e98deac1a416c9ce3c892bd8eef586f1291ca35",34338074408866,34286499148725,"[34338074408866, 71203, 71017, 109561482452952451, 34286499148725]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xfb9ec354efc86167728b4eadd854853f410b7660, 0x9730b014700e78593fe62c06cad47ad1e0e5dff9",34338074408866,33353973543421,"[34338074408866, 71203, 71017, 99780097, 33353973543421]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x1a57ec5459928389fbb5612ff2a5e0b534fd9e2e, 0xa71d014ffc0d2aff34d1fe1672dcdef6ec00af66",34338074408866,34206795510205,"[34338074408866, 71203, 71017, 116816032536001647, 34206795510205]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xf6c4e4f339912541d3f8ed99dba64a1372af5e5b, 0x23d15edceb5b5b3a23347fa425846de80a2e8e5c",34338074408866,33865937698133,"[34338074408866, 71203, 71017, 14815985018643210, 33865937698133]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x76911e11fddb742d75b83c9e1f611f48f19234e4, 0xba7872534a6c9097d805d8bee97e030f4e372e54",33425303881439304,33671086915256271,"[33425303881439304, 69310991, 69130250, 410721420050047820513, 33671086915256271]",245783033816967
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xd02ac36f729b867174e7361d5f272c542c71ad73, 0xb61680ef4ea45a749e6e2baef4238a7eade781b9",34338074408866,32750051294098,"[34338074408866, 71203, 71017, 7925293340429292467, 32750051294098]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x124aa7d564348a4e5dbcd107da38bee3e0c27d1a, 0xdab143548832194c8f2677eba9830e0b453b37c6",34338074408866,33753271688367,"[34338074408866, 71203, 71017, 1102256, 33753271688367]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x2b9f8fe8ffc437a9008bb3097066f02b0a1c52ec, 0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad",34338074408866,33828319935887,"[34338074408866, 71203, 71017, 835169994690612605, 33828319935887]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xde93684627d4e34d6ef96adf5bcabf10bbd8dd81, 0x30bc873193466dc59fc08159460c49f26f609795",34338074408866,33471802354980,"[34338074408866, 71203, 71017, 74377, 33471802354980]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x9e251daeb17981477509779612dc2ffa8075aa8e, 0xb079d6be3faf5771e354586dbc47d0a3d37c34fb",34338074408866,34309156741670,"[34338074408866, 71203, 71017, 23888627, 34309156741670]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xfcd13ea0b906f2f87229650b8d93a51b2e839ebd, 0xc0067d751fb1172dbab1fa003efe214ee8f419b6",34338074408866,33938814526148,"[34338074408866, 71203, 71017, 93366508, 33938814526148]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x4bb0925fa50da9b4c8936869433b48e78ccc5c13, 0xe45b4a84e0ad24b8617a489d743c52b84b7acebe",34338074408866,33823582045361,"[34338074408866, 71203, 71017, 27743544, 33823582045361]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xde6faedbcae38eec6d33ad61473a04a6dd7f6e28, 0xbaa48ef52fe0cf3a2682c1247b18d4274a988132",34338074408866,33810267854976,"[34338074408866, 71203, 71017, 5266929993664031781, 33810267854976]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x3a925503970d40d36d2329e3846e09fcfc9b6acb, 0x424485f89ea52839fdb30640eb7dd7e0078e12fb",34338074408866,34192699865225,"[34338074408866, 71203, 71017, 108088619845974305, 34192699865225]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x6d7a7b251a6cac43f1798494d847e6d333f9ffca, 0x17202e8e31fe0eebdb401b2e11492f5be52c8312",34338074408866,33793020604730,"[34338074408866, 71203, 71017, 49522749710597048291308, 33793020604730]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x6f118ecebc31a5ffe49b87c47ea80f93a2af0a8a, 0xa14e051af256157ce093aa54cb3b2f775358f559",34338074408866,34005313725812,"[34338074408866, 71203, 71017, 86744035881420343, 34005313725812]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x700fc86c46299cf2a8fd86edadae3f57014351b0, 0x52127470de72e5ef77ca962d23125cbe096e2d81",34338074408866,33971053467643,"[34338074408866, 71203, 71017, 340305671330702414182, 33971053467643]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xd6e1720b9a3bce9925e29f6b05204748097d287b, 0x8d7a93e896784a64c17a11f29067bd5416df7d60",34338074408866,33891057339210,"[34338074408866, 71203, 71017, 27972606246087287621, 33891057339210]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x1e49768714e438e789047f48fd386686a5707db2, 0x7fdeb46b3a0916630f36e886d675602b1007fcbb",44661308555555184,44714334384527132,"[44661308555555184, 92609986, 92368275, 300384808640861627826, 44714334384527132]",53025828971948
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0xe24ab719209a9844e59dbfeee91ce7d8d482532e, 0xdd97fce8441dabf221b330269750b18ba82b0cd6",2265172779608316,2266158180728587,"[2265172779608316, 4697092, 4684873, 10888649668663019268376, 2266158180728587]",985401120271
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x3041cbd36888becc7bbcbc0045e3b1f144466f5f, 0x7c30ffc4fea98deb6aad172d6e3d673c962c13f5, 0xdb101efaebe66f629c6451b8b1bccf8d07a11e60",74488718032370144,75381507936736505,"[74488718032370144, 154459951, 154055871, 20845826921734656322, 75381507936736505]",892789904366361
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x6d74443bb2d50785989a7212ebfd3a8dbabd1f60, 0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c",34338074408866,34063175253997,"[34338074408866, 71203, 37137955725636, 34063175253997]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x98f90bfc702ec548d21b5a566a4df6853e2890d4, 0x8cb77ea869def8f7fdeab9e4da6cf02897bbf076",34338074408866,33725798078877,"[34338074408866, 71203, 11263417953670687615, 33725798078877]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0xf1603432a96cb371f03d77501d1d7f55070cf8cc, 0x78612ae1f88bdf52fd8fe4c1844820716bf82d91",8768552429562218496,20305428425551930522,"[8768552429562218496, 18170527464, 8142493401519, 12512794303445, 20305428425551930522]",11536875995989712026
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x582e3da39948c6339433008703211ad2c13eb2ac",10988445128609542144,25402974013290848726,"[10988445128609542144, 22766849682, 9046019732648, 25402974013290848726]",14414528884681306582
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x485d20e8aac9f7c6a39d05147737487ff4093af4, 0x2fdbadf3c4d5a8666bc06645b8358ab803996e28",34338074408866,9423257067541,"[34338074408866, 71203, 64492717, 2485520685492, 9423257067541]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x50b6071561f068963bcfe2b341126cd6accafafb, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,51783153607,"[34338074408866, 71203, 64492717, 108, 51783153607]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x1d1126cc2c77384448913b41fbf308563aae1f16, 0xa478c2975ab1ea89e8196811f51a7b7ade33eb11",34338074408866,32816987098001,"[34338074408866, 71203, 64492717, 68531516667782590, 32816987098001]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0xab7b749a56322e15ecd685077ccb69ac9fc5dc0e, 0xc5be99a02c6857f9eac67bbce58df5572498f40c",34338074408866,6609219137704,"[34338074408866, 71203, 64492717, 8252526, 6609219137704]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x728102a5ba2c67f2250002c0a4418724019862ae, 0xcffdded873554f362ac02f8fb1f02e5ada10516f",34338074408866,12882966530185,"[34338074408866, 71203, 64492717, 489054132384753, 12882966530185]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0xa16a3cbc92d77b720a851d33a91890c4fbfb0299, 0xc2adda861f89bbb333c90c492cb837741916a225",2553520496808976384,4151095061028641181,"[2553520496808976384, 5293991516, 3695507986220, 6587496451908742923, 4151095061028641181]",1597574564219664797
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6c0428f56f9ca7ed54bd824a4856e92c3a8e401, 0x81a8bd7f2b29cee72aae18da9b4637acf4bc125a, 0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974",1101716476688664832,1346189370411012606,"[1101716476688664832, 2284343793, 1833648150412, 182659373573750281398, 1346189370411012606]",244472893722347774
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x514906fc121c7878424a5c928cad1852cc545892, 0x56feaccb7f750b997b36a68625c7c596f0b41a58",15389461887368216,15431999345744583,"[15389461887368216, 31911761, 1092836736198871131, 15431999345744583]",42537458376367
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x8a46eb07ed7c3d6f883990d32aad0f8231901a64, 0xf0936e53d924d7f442a04c038082a46c77ecc8d8",34338074408866,33002981496759,"[34338074408866, 71203, 38470675715985433550, 33002981496759]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x5fa9569b0ed6aa01e234468e6a15b77988b950df, 0xcf4236db746dbc1855a4d095aaf58da9b030491e",34338074408866,34212371000777,"[34338074408866, 71203, 270924094485335511, 34212371000777]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x2702bd7268793b5e1c7ee1ac2d9cae2ae2ecfe55, 0x469506e58d4d0d7abb476dd5c0a999d46723351f",34338074408866,33564220023419,"[34338074408866, 71203, 82011309198520055, 33564220023419]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x2702bd7268793b5e1c7ee1ac2d9cae2ae2ecfe55, 0x576cea6d4461fcb3a9d43e922c9b54c0f791599a, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,33648980833661,"[34338074408866, 71203, 82011309198520055, 70179, 33648980833661]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x684b00a5773679f88598a19976fbeb25a68e9a5f, 0x3f2eea452d4717dea05dbe55e1bfaf020294dd97",34338074408866,32809771499281,"[34338074408866, 71203, 1590550689475378599, 32809771499281]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d, 0xe1573b9d29e2183b1af0e743dc2754979a40d237, 0xecba967d84fcf0405f6b32bc45f4d36bfdbb2e81",34338074408866,33540923397537,"[34338074408866, 71203, 70900202434733717, 10005115124054469, 33540923397537]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xe93dc496dbc669d7ee4f03b0eb0a10bb13a4b2a4, 0xc5ed7350e0fb3f780c756ba7d5d8539dc242a414",34338074408866,33611685459963,"[34338074408866, 71203, 2494196832776476743, 33611685459963]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xe93dc496dbc669d7ee4f03b0eb0a10bb13a4b2a4, 0x5d08a36a46ee2ea2722a3b101a2a576341b8ddb5, 0x38a94c4f4d9400643f0fb97198f90c93986f018e",34338074408866,33555078141084,"[34338074408866, 71203, 2494196832776476743, 23218915253689976, 33555078141084]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xa703f8d610369088f14f2a9954cd1cb394032c03, 0xdab143548832194c8f2677eba9830e0b453b37c6",34338074408866,33029949960533,"[34338074408866, 71203, 1078635, 33029949960533]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xa703f8d610369088f14f2a9954cd1cb394032c03, 0x124aa7d564348a4e5dbcd107da38bee3e0c27d1a, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,33121080353065,"[34338074408866, 71203, 1078635, 69078, 33121080353065]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xeb4b2b5e0eae7a0eadd0673ef8c3c830f8762f28, 0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad",34338074408866,33651973078505,"[34338074408866, 71203, 830816257391185448, 33651973078505]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xeb4b2b5e0eae7a0eadd0673ef8c3c830f8762f28, 0x2b9f8fe8ffc437a9008bb3097066f02b0a1c52ec, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,33670077673939,"[34338074408866, 71203, 830816257391185448, 70223, 33670077673939]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xeb4b2b5e0eae7a0eadd0673ef8c3c830f8762f28, 0x5522c339d35a6c3e5f328c8746bdf88f599dab83, 0xa478c2975ab1ea89e8196811f51a7b7ade33eb11",34338074408866,33838275012077,"[34338074408866, 71203, 830816257391185448, 70664266097711741, 33838275012077]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x819de42d3ab832eaf7111a222a8a5a7419f13b48, 0x92cc4300b9fd36242900bca782b2e9e000bd5099",34338074408866,33843872767453,"[34338074408866, 71203, 24769388143846008, 33843872767453]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x881d5c98866a08f90a6f60e3f94f0e461093d049, 0x811beed0119b4afce20d2583eb608c6f7af1954f",66507608197823312,66832685484675457,"[66507608197823312, 137910390, 16149688008145652366419600, 66832685484675457]",325077286852145
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x881d5c98866a08f90a6f60e3f94f0e461093d049, 0x14a870fdc25fa79e73fb31669bbdbcd3fb32200a, 0x9e0f4648d2cc986196580184ed9459aba16262bf",34338074408866,33409474774795,"[34338074408866, 71203, 8376559263930849730256, 81372340414, 33409474774795]",0
